edge_id,origin_location_id,destination_location_id,distance_km,base_travel_time_minutes,road_quality,capacity,historical_delay_rate,average_delay_minutes,weather_exposure,traffic_baseline,congestion_baseline,infrastructure_risk,transport_mode
EDGE0251,LOC003,LOC053,383.03,287.3,5,599,0.292,31.1,0.53,0.5,0.66,0.43,road
EDGE0252,LOC021,LOC020,56.2,42.2,4,334,0.289,100.4,0.54,0.17,0.48,0.67,road
EDGE0253,LOC022,LOC023,223.26,167.4,5,133,0.283,84.4,0.23,0.71,0.69,0.47,road
EDGE0254,LOC010,LOC009,129.61,97.2,9,881,0.12,39.8,0.26,0.42,0.35,0.17,road
EDGE0255,LOC054,LOC057,191.52,143.6,10,795,0.065,28.9,0.25,0.74,0.78,0.06,road
EDGE0256,LOC070,LOC068,291.91,146.0,3,893,0.308,23.4,0.41,0.44,0.36,0.76,rail
EDGE0257,LOC067,LOC030,469.99,352.5,7,523,0.178,74.0,0.16,0.61,0.24,0.33,road
EDGE0258,LOC024,LOC063,495.59,371.7,5,511,0.238,103.9,0.06,0.61,0.42,0.46,road
EDGE0259,LOC043,LOC075,466.67,40.0,10,275,0.069,91.5,0.58,0.1,0.47,0.07,air
EDGE0260,LOC036,LOC015,537.93,403.4,10,104,0.075,64.3,0.24,0.43,0.26,0.03,road
EDGE0261,LOC049,LOC016,266.05,199.5,5,406,0.261,72.6,0.6,0.48,0.56,0.58,road
EDGE0262,LOC067,LOC065,488.61,366.5,3,558,0.355,101.6,0.18,0.29,0.79,0.79,road
EDGE0263,LOC075,LOC043,466.67,350.0,10,503,0.065,59.4,0.57,0.52,0.52,0.0,road
EDGE0264,LOC038,LOC045,583.5,437.6,7,504,0.2,25.0,0.43,0.8,0.12,0.33,road
EDGE0265,LOC048,LOC035,426.46,319.8,5,419,0.308,10.1,0.15,0.16,0.78,0.49,road
EDGE0266,LOC042,LOC041,13.43,10.1,7,792,0.181,60.1,0.19,0.67,0.12,0.31,road
EDGE0267,LOC043,LOC046,777.13,388.6,8,238,0.166,67.6,0.51,0.16,0.25,0.19,rail
EDGE0268,LOC038,LOC039,367.61,275.7,8,275,0.19,16.4,0.12,0.89,0.47,0.16,road
EDGE0269,LOC011,LOC056,66.38,49.8,9,259,0.112,83.8,0.42,0.79,0.57,0.19,road
EDGE0270,LOC049,LOC071,262.85,197.1,7,327,0.171,58.4,0.44,0.5,0.34,0.29,road
EDGE0271,LOC063,LOC027,635.22,476.4,5,722,0.286,23.1,0.25,0.17,0.45,0.52,road
EDGE0272,LOC063,LOC025,943.94,708.0,4,856,0.265,111.2,0.13,0.2,0.38,0.63,road
EDGE0273,LOC008,LOC009,14.25,10.7,6,175,0.2,99.5,0.41,0.85,0.72,0.46,road
EDGE0274,LOC063,LOC024,495.59,371.7,4,803,0.284,36.1,0.05,0.34,0.7,0.57,road
EDGE0275,LOC029,LOC051,121.5,60.8,10,714,0.124,40.1,0.6,0.73,0.77,0.0,rail
EDGE0276,LOC022,LOC019,398.95,299.2,7,457,0.195,54.6,0.36,0.54,0.28,0.39,road
EDGE0277,LOC022,LOC021,155.9,13.4,5,438,0.26,96.8,0.36,0.12,0.32,0.52,air
EDGE0278,LOC017,LOC006,161.07,120.8,7,808,0.195,69.3,0.25,0.86,0.42,0.34,road
EDGE0279,LOC047,LOC046,254.19,127.1,8,842,0.148,21.4,0.25,0.24,0.47,0.29,rail
EDGE0280,LOC002,LOC017,159.55,119.7,3,365,0.359,30.5,0.39,0.22,0.79,0.66,road
EDGE0281,LOC013,LOC061,167.14,83.6,10,279,0.141,98.9,0.21,0.34,0.39,0.03,rail
EDGE0282,LOC025,LOC026,331.26,28.4,5,648,0.243,105.2,0.2,0.5,0.25,0.56,air
EDGE0283,LOC007,LOC003,145.13,72.6,3,104,0.316,52.3,0.5,0.69,0.29,0.77,rail
EDGE0284,LOC052,LOC004,287.36,215.5,10,174,0.056,28.4,0.42,0.35,0.57,0.0,road
EDGE0285,LOC015,LOC069,702.42,60.2,3,162,0.387,69.9,0.56,0.46,0.72,0.6,air
EDGE0286,LOC006,LOC004,260.53,195.4,8,914,0.197,26.3,0.45,0.72,0.15,0.17,road
EDGE0287,LOC011,LOC058,158.48,13.6,9,986,0.147,80.0,0.51,0.83,0.35,0.07,air
EDGE0288,LOC068,LOC067,288.29,216.2,8,349,0.134,50.8,0.19,0.13,0.25,0.2,road
EDGE0289,LOC052,LOC007,346.55,173.3,3,611,0.301,100.7,0.47,0.54,0.41,0.8,rail
EDGE0290,LOC006,LOC007,263.58,197.7,9,838,0.105,16.4,0.34,0.89,0.29,0.13,road
EDGE0291,LOC036,LOC035,369.76,277.3,6,290,0.27,37.6,0.15,0.4,0.66,0.42,road
EDGE0292,LOC060,LOC013,249.59,21.4,6,193,0.27,112.2,0.47,0.74,0.66,0.47,air
EDGE0293,LOC046,LOC039,581.69,436.3,4,968,0.312,89.0,0.53,0.61,0.69,0.62,road
EDGE0294,LOC047,LOC038,420.37,36.0,7,635,0.172,63.1,0.31,0.68,0.25,0.39,air
EDGE0295,LOC058,LOC011,158.48,118.9,5,952,0.297,26.5,0.43,0.5,0.31,0.4,road
EDGE0296,LOC066,LOC062,502.4,43.1,9,303,0.138,40.1,0.09,0.58,0.17,0.18,air
EDGE0297,LOC049,LOC050,196.03,147.0,5,474,0.254,16.6,0.3,0.79,0.72,0.57,road
EDGE0298,LOC043,LOC044,234.01,20.1,10,988,0.129,65.7,0.55,0.75,0.32,0.09,air
EDGE0299,LOC059,LOC060,237.01,177.8,5,968,0.27,79.2,0.44,0.66,0.44,0.56,road
EDGE0300,LOC014,LOC031,306.45,229.8,6,202,0.257,26.4,0.08,0.14,0.75,0.38,road
EDGE0301,LOC063,LOC064,365.06,273.8,8,398,0.122,28.4,0.13,0.58,0.15,0.22,road
EDGE0302,LOC069,LOC031,247.37,185.5,5,308,0.294,19.5,0.3,0.58,0.75,0.56,road
EDGE0303,LOC045,LOC038,583.5,50.0,10,695,0.116,7.7,0.29,0.15,0.64,0.0,air
EDGE0304,LOC041,LOC046,120.76,90.6,8,514,0.135,52.0,0.35,0.46,0.38,0.11,road
EDGE0305,LOC058,LOC057,121.79,91.3,5,829,0.231,86.8,0.46,0.68,0.41,0.48,road
EDGE0306,LOC041,LOC042,13.43,10.1,9,280,0.087,76.5,0.23,0.86,0.24,0.11,road
EDGE0307,LOC026,LOC063,614.4,460.8,8,753,0.121,85.4,0.0,0.27,0.64,0.12,road
EDGE0308,LOC009,LOC055,161.63,13.9,7,620,0.184,56.8,0.29,0.35,0.73,0.25,air
EDGE0309,LOC033,LOC032,304.34,228.3,10,158,0.092,37.8,0.0,0.21,0.64,0.04,road
EDGE0310,LOC009,LOC010,129.61,64.8,10,187,0.113,34.0,0.3,0.7,0.51,0.01,rail
EDGE0311,LOC044,LOC075,367.61,31.5,6,535,0.22,92.3,0.73,0.37,0.25,0.34,air
EDGE0312,LOC032,LOC033,304.34,26.1,8,269,0.193,65.8,0.0,0.38,0.59,0.19,air
EDGE0313,LOC038,LOC037,412.16,309.1,4,918,0.314,29.9,0.13,0.79,0.6,0.59,road
EDGE0314,LOC023,LOC020,429.28,214.6,9,417,0.127,24.3,0.39,0.54,0.67,0.17,rail
EDGE0315,LOC071,LOC028,318.6,239.0,9,982,0.092,94.3,0.38,0.25,0.7,0.18,road
EDGE0316,LOC060,LOC059,237.01,20.3,6,167,0.29,13.7,0.3,0.28,0.31,0.47,air
EDGE0317,LOC025,LOC027,330.33,28.3,5,381,0.324,25.6,0.0,0.22,0.19,0.55,air
EDGE0318,LOC023,LOC022,223.26,167.4,6,139,0.25,12.2,0.3,0.45,0.55,0.49,road
EDGE0319,LOC040,LOC039,179.41,134.6,6,350,0.206,88.4,0.38,0.9,0.6,0.45,road
EDGE0320,LOC001,LOC002,265.26,132.6,5,136,0.271,96.9,0.34,0.82,0.76,0.46,rail
EDGE0321,LOC004,LOC053,361.02,270.8,6,555,0.198,93.8,0.47,0.46,0.23,0.45,road
EDGE0322,LOC031,LOC034,578.64,434.0,10,958,0.066,32.1,0.09,0.11,0.74,0.0,road
EDGE0323,LOC025,LOC024,528.11,264.1,5,689,0.237,70.0,0.18,0.45,0.42,0.43,rail
EDGE0324,LOC062,LOC061,218.72,164.0,10,233,0.102,6.4,0.1,0.43,0.52,0.08,road
EDGE0325,LOC039,LOC046,581.69,436.3,4,775,0.292,113.0,0.21,0.85,0.79,0.68,road
EDGE0326,LOC051,LOC029,121.5,60.8,10,232,0.081,24.8,0.61,0.45,0.62,0.04,rail
EDGE0327,LOC028,LOC072,344.8,258.6,7,583,0.2,9.4,0.5,0.7,0.57,0.24,road
EDGE0328,LOC035,LOC036,369.76,277.3,6,976,0.271,113.6,0.13,0.71,0.75,0.33,road
EDGE0329,LOC044,LOC046,1005.78,502.9,7,972,0.192,58.8,0.65,0.28,0.44,0.33,rail
EDGE0330,LOC002,LOC006,270.48,202.9,8,224,0.217,93.5,0.48,0.74,0.11,0.24,road
EDGE0331,LOC039,LOC042,552.67,414.5,7,663,0.159,51.9,0.1,0.79,0.37,0.38,road
EDGE0332,LOC045,LOC015,596.39,51.1,3,990,0.338,20.9,0.32,0.89,0.69,0.76,air
EDGE0333,LOC064,LOC065,226.38,169.8,6,727,0.235,63.6,0.2,0.72,0.31,0.31,road
EDGE0334,LOC034,LOC032,235.35,117.7,5,106,0.31,32.1,0.0,0.43,0.17,0.6,rail
EDGE0335,LOC045,LOC074,476.21,357.2,8,213,0.141,20.0,0.45,0.57,0.71,0.15,road
EDGE0336,LOC047,LOC041,259.93,194.9,7,531,0.199,29.2,0.42,0.66,0.15,0.37,road
EDGE0337,LOC063,LOC066,448.21,336.2,8,441,0.167,75.7,0.16,0.1,0.29,0.16,road
EDGE0338,LOC006,LOC017,161.07,120.8,3,436,0.365,18.8,0.33,0.41,0.72,0.72,road
EDGE0339,LOC013,LOC024,458.94,344.2,8,951,0.176,64.7,0.06,0.43,0.58,0.12,road
EDGE0340,LOC003,LOC006,203.3,152.5,9,797,0.094,77.5,0.38,0.84,0.4,0.0,road
EDGE0341,LOC032,LOC034,235.35,20.2,9,970,0.085,81.4,0.1,0.54,0.33,0.16,air
EDGE0342,LOC004,LOC021,305.27,229.0,10,653,0.106,31.3,0.46,0.8,0.8,0.0,road
EDGE0343,LOC064,LOC063,365.06,273.8,5,104,0.269,103.8,0.23,0.76,0.1,0.42,road
EDGE0344,LOC014,LOC033,406.27,304.7,7,152,0.24,65.8,0.02,0.21,0.22,0.35,road
EDGE0345,LOC017,LOC002,159.55,119.7,6,765,0.252,111.5,0.3,0.74,0.4,0.46,road
EDGE0346,LOC009,LOC054,216.69,108.3,5,484,0.246,96.4,0.56,0.44,0.75,0.45,rail
EDGE0347,LOC024,LOC027,201.26,150.9,3,659,0.357,24.8,0.03,0.19,0.43,0.63,road
EDGE0348,LOC007,LOC029,404.96,303.7,3,901,0.384,90.8,0.36,0.35,0.46,0.77,road
EDGE0349,LOC042,LOC046,109.89,82.4,6,855,0.214,21.7,0.31,0.13,0.75,0.41,road
EDGE0350,LOC073,LOC075,711.14,533.4,4,509,0.324,58.9,0.6,0.89,0.29,0.6,road
EDGE0351,LOC054,LOC055,132.95,99.7,4,822,0.309,94.7,0.45,0.35,0.21,0.67,road
EDGE0352,LOC021,LOC004,305.27,152.6,6,147,0.279,54.8,0.43,0.49,0.2,0.31,rail
EDGE0353,LOC054,LOC056,213.78,160.3,8,196,0.176,32.9,0.35,0.22,0.56,0.28,road
EDGE0354,LOC068,LOC030,313.77,235.3,3,274,0.36,50.2,0.39,0.35,0.16,0.78,road
EDGE0355,LOC035,LOC048,426.46,319.8,8,182,0.185,17.3,0.21,0.46,0.43,0.19,road
EDGE0356,LOC030,LOC002,370.61,278.0,6,523,0.235,67.4,0.24,0.69,0.11,0.4,road
EDGE0357,LOC012,LOC064,317.23,237.9,4,810,0.304,45.4,0.38,0.76,0.47,0.67,road
EDGE0358,LOC010,LOC021,198.37,148.8,5,369,0.293,107.1,0.37,0.24,0.42,0.41,road
EDGE0359,LOC041,LOC047,259.93,194.9,9,938,0.141,10.2,0.49,0.85,0.53,0.17,road
EDGE0360,LOC055,LOC009,161.63,121.2,3,803,0.318,76.7,0.51,0.39,0.32,0.69,road
EDGE0361,LOC020,LOC022,207.37,103.7,6,247,0.241,36.1,0.43,0.55,0.71,0.32,rail
EDGE0362,LOC036,LOC048,511.24,43.8,6,413,0.206,49.8,0.31,0.88,0.5,0.44,air
EDGE0363,LOC040,LOC037,480.86,360.6,3,123,0.363,71.6,0.1,0.67,0.14,0.7,road
EDGE0364,LOC037,LOC038,412.16,206.1,9,262,0.113,24.5,0.05,0.29,0.24,0.1,rail
EDGE0365,LOC071,LOC072,370.44,277.8,7,713,0.238,72.6,0.38,0.84,0.56,0.28,road
EDGE0366,LOC003,LOC004,184.91,138.7,6,259,0.272,61.6,0.37,0.47,0.64,0.42,road
EDGE0367,LOC030,LOC012,386.91,193.5,6,391,0.211,32.6,0.26,0.37,0.46,0.47,rail
EDGE0368,LOC065,LOC067,488.61,41.9,5,536,0.227,48.8,0.09,0.83,0.6,0.56,air
EDGE0369,LOC034,LOC014,293.1,219.8,4,977,0.343,115.4,0.0,0.45,0.43,0.58,road
EDGE0370,LOC039,LOC047,329.76,164.9,6,558,0.288,108.5,0.11,0.75,0.47,0.3,rail
EDGE0371,LOC003,LOC007,145.13,108.8,7,166,0.209,59.8,0.53,0.59,0.67,0.32,road
