risk_id,shipment_id,weather_score,traffic_score,congestion_score,transport_score,external_event_score,historical_score,shipment_characteristics_score,overall_risk_score,risk_level,sla_breach_probability,expected_delay_minutes,created_at
RISK00500,CURR00500,1.0,3.79,4.47,1.0,1.0,10.0,1,3.01,MEDIUM,0.306,41,2026-07-01T00:00:00
RISK00501,CURR00501,4.6,6.92,1.0,1.0,1.29,9.4,1,3.48,MEDIUM,0.446,111,2026-07-01T00:00:00
RISK00502,CURR00502,6.38,6.42,1.0,1.0,2.56,10.0,1,3.94,MEDIUM,0.524,36,2026-07-01T00:00:00
RISK00503,CURR00503,6.91,7.94,2.37,1.0,1.29,10.0,1,4.43,MEDIUM,0.592,176,2026-07-01T00:00:00
RISK00504,CURR00504,8.91,3.24,1.93,2.5,2.17,10.0,1,4.35,MEDIUM,0.826,226,2026-07-01T00:00:00
RISK00505,CURR00505,5.87,4.04,6.03,1.0,2.58,10.0,1,4.49,MEDIUM,0.569,165,2026-07-01T00:00:00
RISK00506,CURR00506,3.98,7.77,2.46,1.0,1.0,9.95,1,3.8,MEDIUM,0.533,140,2026-07-01T00:00:00
RISK00507,CURR00507,6.47,1.87,1.7,1.0,3.25,10.0,1,3.49,MEDIUM,0.472,27,2026-07-01T00:00:00
RISK00508,CURR00508,1.0,7.95,1.0,1.0,2.14,10.0,1,3.06,MEDIUM,0.343,20,2026-07-01T00:00:00
RISK00509,CURR00509,1.0,1.45,1.0,1.0,1.38,10.0,1,2.01,LOW,0.212,16,2026-07-01T00:00:00
RISK00510,CURR00510,5.87,7.77,1.0,1.0,1.0,10.0,3,4.09,MEDIUM,0.574,184,2026-07-01T00:00:00
RISK00511,CURR00511,2.6,6.4,1.08,1.0,1.62,10.0,1,3.11,MEDIUM,0.394,69,2026-07-01T00:00:00
RISK00512,CURR00512,3.44,2.92,5.71,1.25,1.0,10.0,1,3.66,MEDIUM,0.558,146,2026-07-01T00:00:00
RISK00513,CURR00513,5.35,3.48,4.44,1.0,1.0,9.62,1,3.79,MEDIUM,0.475,71,2026-07-01T00:00:00
RISK00514,CURR00514,6.51,7.06,2.27,1.0,1.61,7.67,1,3.99,MEDIUM,0.549,118,2026-07-01T00:00:00
RISK00515,CURR00515,6.68,5.61,1.0,1.0,1.0,10.0,3,3.93,MEDIUM,0.554,110,2026-07-01T00:00:00
RISK00516,CURR00516,5.25,1.0,2.7,1.0,2.81,10.0,1,3.27,MEDIUM,0.429,40,2026-07-01T00:00:00
RISK00517,CURR00517,5.16,7.19,3.21,1.0,1.0,10.0,1,4.1,MEDIUM,0.527,87,2026-07-01T00:00:00
RISK00518,CURR00518,8.56,4.64,2.3,1.0,3.75,10.0,1,4.49,MEDIUM,0.68,142,2026-07-01T00:00:00
RISK00519,CURR00519,1.0,6.68,3.4,1.0,1.21,10.0,1,3.25,MEDIUM,0.381,87,2026-07-01T00:00:00
RISK00520,CURR00520,6.59,1.86,1.0,1.0,3.21,9.1,1,3.28,MEDIUM,0.435,130,2026-07-01T00:00:00
RISK00521,CURR00521,4.1,1.0,3.38,1.0,3.01,10.0,1,3.2,MEDIUM,0.392,32,2026-07-01T00:00:00
RISK00522,CURR00522,1.0,2.19,1.69,1.0,1.0,10.0,1,2.22,LOW,0.23,11,2026-07-01T00:00:00
RISK00523,CURR00523,3.08,1.0,6.23,1.0,3.3,10.0,1,3.59,MEDIUM,0.426,51,2026-07-01T00:00:00
RISK00524,CURR00524,2.78,1.45,3.48,1.0,1.14,10.0,1,2.83,LOW,0.346,11,2026-07-01T00:00:00
RISK00525,CURR00525,3.95,1.5,5.07,1.0,1.06,10.0,1,3.38,MEDIUM,0.41,58,2026-07-01T00:00:00
RISK00526,CURR00526,5.07,5.14,3.31,1.0,3.89,7.67,3,4.05,MEDIUM,0.515,86,2026-07-01T00:00:00
RISK00527,CURR00527,5.77,7.99,3.25,1.0,3.57,8.75,1,4.48,MEDIUM,0.595,60,2026-07-01T00:00:00
RISK00528,CURR00528,4.87,6.95,3.24,2.5,1.0,8.33,1,4.07,MEDIUM,0.741,209,2026-07-01T00:00:00
RISK00529,CURR00529,4.01,1.0,4.5,1.0,2.48,9.03,1,3.25,MEDIUM,0.388,43,2026-07-01T00:00:00
RISK00530,CURR00530,1.0,7.0,1.0,1.0,1.0,10.0,1,2.8,LOW,0.294,31,2026-07-01T00:00:00
RISK00531,CURR00531,2.47,7.67,3.41,1.25,1.75,9.18,1,3.71,MEDIUM,0.576,144,2026-07-01T00:00:00
RISK00532,CURR00532,7.28,4.03,1.0,1.0,2.1,10.0,1,3.72,MEDIUM,0.516,65,2026-07-01T00:00:00
RISK00533,CURR00533,1.0,1.0,1.0,1.0,3.07,10.0,1,2.11,LOW,0.227,6,2026-07-01T00:00:00
RISK00534,CURR00534,2.78,1.0,4.06,1.0,1.52,10.0,3,3.12,MEDIUM,0.405,93,2026-07-01T00:00:00
RISK00535,CURR00535,3.28,6.15,5.82,1.0,3.78,10.0,1,4.37,MEDIUM,0.537,164,2026-07-01T00:00:00
RISK00536,CURR00536,8.59,7.32,3.14,1.0,2.67,10.0,1,4.96,MEDIUM,0.676,119,2026-07-01T00:00:00
RISK00537,CURR00537,6.6,1.0,1.04,1.25,3.91,10.0,1,3.36,MEDIUM,0.574,127,2026-07-01T00:00:00
RISK00538,CURR00538,8.83,7.23,1.0,1.0,1.0,6.98,3,4.3,MEDIUM,0.565,192,2026-07-01T00:00:00
RISK00539,CURR00539,4.97,4.2,6.8,1.0,2.45,10.0,1,4.48,MEDIUM,0.621,140,2026-07-01T00:00:00
RISK00540,CURR00540,4.39,1.0,1.0,1.0,3.04,10.0,1,2.78,LOW,0.346,33,2026-07-01T00:00:00
RISK00541,CURR00541,1.0,1.0,1.41,1.0,2.52,10.0,1,2.13,LOW,0.214,23,2026-07-01T00:00:00
RISK00542,CURR00542,1.0,4.74,1.37,1.0,3.92,10.0,1,2.83,LOW,0.328,21,2026-07-01T00:00:00
RISK00543,CURR00543,4.64,5.77,4.49,1.0,1.81,10.0,1,4.12,MEDIUM,0.524,86,2026-07-01T00:00:00
RISK00544,CURR00544,4.12,1.0,2.9,1.25,2.34,10.0,3,3.28,MEDIUM,0.545,131,2026-07-01T00:00:00
RISK00545,CURR00545,4.43,7.64,1.0,1.0,1.0,10.0,1,3.58,MEDIUM,0.524,147,2026-07-01T00:00:00
RISK00546,CURR00546,5.67,7.88,6.43,1.0,2.49,10.0,3,5.3,HIGH,0.642,68,2026-07-01T00:00:00
RISK00547,CURR00547,2.42,6.41,3.51,1.0,1.02,8.33,3,3.53,MEDIUM,0.412,56,2026-07-01T00:00:00
RISK00548,CURR00548,6.28,7.02,6.93,1.0,1.0,10.0,1,5.04,HIGH,0.638,104,2026-07-01T00:00:00
RISK00549,CURR00549,5.53,5.88,2.97,1.0,1.0,10.0,1,3.93,MEDIUM,0.497,117,2026-07-01T00:00:00
RISK00550,CURR00550,3.22,5.18,1.0,1.0,1.0,10.0,1,2.97,LOW,0.422,89,2026-07-01T00:00:00
RISK00551,CURR00551,8.78,2.1,4.12,1.0,1.0,10.0,1,4.25,MEDIUM,0.574,44,2026-07-01T00:00:00
RISK00552,CURR00552,3.34,5.54,1.0,1.0,3.96,10.0,1,3.35,MEDIUM,0.419,103,2026-07-01T00:00:00
RISK00553,CURR00553,1.26,3.49,4.01,1.0,1.0,9.03,1,2.83,LOW,0.388,77,2026-07-01T00:00:00
RISK00554,CURR00554,4.9,3.02,6.8,1.0,3.73,10.0,1,4.42,MEDIUM,0.557,107,2026-07-01T00:00:00
RISK00555,CURR00555,7.74,1.0,2.73,1.0,1.49,10.0,1,3.64,MEDIUM,0.473,70,2026-07-01T00:00:00
RISK00556,CURR00556,3.86,4.17,1.39,1.0,1.0,10.0,1,3.03,MEDIUM,0.376,22,2026-07-01T00:00:00
RISK00557,CURR00557,7.63,6.13,1.0,1.0,1.0,10.0,1,4.0,MEDIUM,0.549,68,2026-07-01T00:00:00
RISK00558,CURR00558,8.11,4.56,4.42,1.0,1.0,10.0,1,4.54,MEDIUM,0.659,154,2026-07-01T00:00:00
RISK00559,CURR00559,3.01,7.79,2.56,1.0,2.32,10.0,1,3.76,MEDIUM,0.468,88,2026-07-01T00:00:00
RISK00560,CURR00560,8.75,3.21,6.13,1.0,3.83,8.33,1,4.92,MEDIUM,0.664,85,2026-07-01T00:00:00
RISK00561,CURR00561,8.61,4.41,1.0,1.0,2.21,9.95,1,4.05,MEDIUM,0.608,138,2026-07-01T00:00:00
RISK00562,CURR00562,6.28,3.62,6.75,1.0,1.0,10.0,1,4.5,MEDIUM,0.558,90,2026-07-01T00:00:00
RISK00563,CURR00563,6.71,6.27,6.47,1.25,3.41,10.0,1,5.21,HIGH,0.79,170,2026-07-01T00:00:00
RISK00564,CURR00564,5.78,6.47,1.0,1.0,1.92,10.0,1,3.77,MEDIUM,0.495,105,2026-07-01T00:00:00
RISK00565,CURR00565,4.18,1.28,6.65,1.0,2.21,10.0,3,4.03,MEDIUM,0.526,153,2026-07-01T00:00:00
RISK00566,CURR00566,4.6,3.31,5.97,1.0,3.09,10.0,1,4.17,MEDIUM,0.52,79,2026-07-01T00:00:00
RISK00567,CURR00567,4.36,7.16,6.8,1.0,1.0,7.67,3,4.62,MEDIUM,0.543,176,2026-07-01T00:00:00
RISK00568,CURR00568,3.29,1.0,5.5,1.25,1.0,10.0,1,3.3,MEDIUM,0.488,134,2026-07-01T00:00:00
RISK00569,CURR00569,6.33,4.08,4.08,1.0,2.19,10.0,1,4.16,MEDIUM,0.541,97,2026-07-01T00:00:00
RISK00570,CURR00570,7.5,3.53,6.37,1.0,3.74,10.0,1,4.93,MEDIUM,0.7,181,2026-07-01T00:00:00
RISK00571,CURR00571,2.47,2.08,1.0,1.0,1.0,10.0,1,2.36,LOW,0.277,31,2026-07-01T00:00:00
RISK00572,CURR00572,1.0,3.2,1.0,1.0,1.0,10.0,1,2.23,LOW,0.256,17,2026-07-01T00:00:00
RISK00573,CURR00573,1.84,4.39,1.08,1.0,2.71,10.0,1,2.76,LOW,0.338,45,2026-07-01T00:00:00
RISK00574,CURR00574,3.73,1.0,4.48,1.0,1.0,10.0,1,3.14,MEDIUM,0.421,98,2026-07-01T00:00:00
RISK00575,CURR00575,8.68,6.5,1.0,1.0,3.04,10.0,1,4.46,MEDIUM,0.62,89,2026-07-01T00:00:00
RISK00576,CURR00576,2.5,7.0,2.73,1.0,1.93,10.0,1,3.54,MEDIUM,0.432,85,2026-07-01T00:00:00
RISK00577,CURR00577,3.21,6.41,2.01,1.25,1.09,7.98,1,3.2,MEDIUM,0.534,147,2026-07-01T00:00:00
RISK00578,CURR00578,5.45,6.72,3.68,1.0,1.67,10.0,1,4.25,MEDIUM,0.548,65,2026-07-01T00:00:00
RISK00579,CURR00579,5.21,2.87,3.92,1.0,1.0,10.0,1,3.61,MEDIUM,0.454,52,2026-07-01T00:00:00
RISK00580,CURR00580,4.76,5.77,4.31,1.0,1.0,10.0,3,4.23,MEDIUM,0.504,122,2026-07-01T00:00:00
RISK00581,CURR00581,8.75,3.01,2.71,1.0,1.59,10.0,1,4.15,MEDIUM,0.569,82,2026-07-01T00:00:00
RISK00582,CURR00582,2.68,6.0,5.4,2.5,1.16,10.0,3,4.31,MEDIUM,0.769,199,2026-07-01T00:00:00
RISK00583,CURR00583,7.06,1.6,3.03,1.0,1.0,10.0,1,3.61,MEDIUM,0.474,70,2026-07-01T00:00:00
RISK00584,CURR00584,1.56,6.04,1.0,2.5,1.0,10.0,1,2.99,LOW,0.574,166,2026-07-01T00:00:00
RISK00585,CURR00585,1.3,3.28,4.66,1.0,1.68,10.0,1,3.1,MEDIUM,0.353,86,2026-07-01T00:00:00
RISK00586,CURR00586,1.0,1.0,5.3,1.0,2.27,10.0,1,2.89,LOW,0.311,18,2026-07-01T00:00:00
RISK00587,CURR00587,4.32,5.14,4.24,1.0,3.9,10.0,1,4.12,MEDIUM,0.521,89,2026-07-01T00:00:00
RISK00588,CURR00588,7.84,4.83,6.89,1.25,1.0,10.0,3,5.26,HIGH,0.77,245,2026-07-01T00:00:00
RISK00589,CURR00589,3.28,1.58,1.05,1.0,2.96,10.0,1,2.65,LOW,0.337,54,2026-07-01T00:00:00
RISK00590,CURR00590,4.82,7.0,2.5,1.0,1.4,9.57,1,3.86,MEDIUM,0.56,111,2026-07-01T00:00:00
RISK00591,CURR00591,1.84,1.0,5.85,1.0,1.65,10.0,1,3.1,MEDIUM,0.333,54,2026-07-01T00:00:00
RISK00592,CURR00592,4.75,4.93,2.21,1.0,1.0,10.0,1,3.48,MEDIUM,0.473,45,2026-07-01T00:00:00
RISK00593,CURR00593,6.07,6.57,1.37,1.0,1.0,7.32,1,3.56,MEDIUM,0.485,100,2026-07-01T00:00:00
RISK00594,CURR00594,2.23,2.33,3.68,2.5,1.38,8.03,3,3.15,MEDIUM,0.581,203,2026-07-01T00:00:00
RISK00595,CURR00595,1.0,7.3,2.41,1.0,1.14,10.0,3,3.34,MEDIUM,0.365,57,2026-07-01T00:00:00
RISK00596,CURR00596,3.2,3.32,1.0,1.0,1.0,9.53,1,2.64,LOW,0.307,73,2026-07-01T00:00:00
RISK00597,CURR00597,2.29,6.97,3.7,1.0,2.94,10.0,1,3.79,MEDIUM,0.476,15,2026-07-01T00:00:00
RISK00598,CURR00598,5.15,1.0,2.79,1.0,1.07,6.25,1,2.72,LOW,0.43,81,2026-07-01T00:00:00
RISK00599,CURR00599,1.7,2.55,5.69,1.25,2.02,10.0,1,3.35,MEDIUM,0.505,104,2026-07-01T00:00:00
RISK00600,CURR00600,2.92,7.79,5.08,1.0,1.0,10.0,1,4.12,MEDIUM,0.5,56,2026-07-01T00:00:00
RISK00601,CURR00601,3.47,2.35,6.29,1.0,1.91,10.0,1,3.75,MEDIUM,0.452,36,2026-07-01T00:00:00
RISK00602,CURR00602,5.38,1.37,1.2,1.0,3.67,10.0,1,3.14,MEDIUM,0.489,125,2026-07-01T00:00:00
RISK00603,CURR00603,6.66,3.92,4.59,1.0,2.01,10.0,1,4.29,MEDIUM,0.555,176,2026-07-01T00:00:00
RISK00604,CURR00604,3.11,4.69,5.3,1.25,1.0,10.0,3,3.97,MEDIUM,0.568,193,2026-07-01T00:00:00
RISK00605,CURR00605,2.42,3.33,4.94,1.25,3.06,10.0,1,3.56,MEDIUM,0.543,134,2026-07-01T00:00:00
RISK00606,CURR00606,6.21,2.97,2.74,1.0,1.0,10.0,1,3.59,MEDIUM,0.456,31,2026-07-01T00:00:00
RISK00607,CURR00607,5.47,5.79,2.46,1.0,2.29,10.0,1,3.93,MEDIUM,0.518,108,2026-07-01T00:00:00
RISK00608,CURR00608,6.1,1.47,4.55,1.0,2.95,10.0,1,3.9,MEDIUM,0.501,112,2026-07-01T00:00:00
RISK00609,CURR00609,5.58,2.11,6.8,1.0,1.73,10.0,1,4.22,MEDIUM,0.519,121,2026-07-01T00:00:00
RISK00610,CURR00610,5.97,6.78,4.82,1.0,1.57,10.0,3,4.78,MEDIUM,0.591,74,2026-07-01T00:00:00
RISK00611,CURR00611,3.77,1.0,4.71,1.0,1.49,10.0,3,3.45,MEDIUM,0.451,85,2026-07-01T00:00:00
RISK00612,CURR00612,8.01,6.97,6.52,1.0,3.63,10.0,3,5.76,HIGH,0.798,109,2026-07-01T00:00:00
RISK00613,CURR00613,1.87,4.77,3.37,1.0,3.22,10.0,1,3.34,MEDIUM,0.404,73,2026-07-01T00:00:00
RISK00614,CURR00614,7.88,2.79,3.02,1.0,2.19,10.0,1,4.07,MEDIUM,0.548,179,2026-07-01T00:00:00
RISK00615,CURR00615,8.57,7.15,5.02,1.0,2.7,10.0,1,5.31,HIGH,0.709,155,2026-07-01T00:00:00
RISK00616,CURR00616,8.24,5.25,2.38,1.25,1.56,10.0,1,4.36,MEDIUM,0.713,228,2026-07-01T00:00:00
RISK00617,CURR00617,4.06,3.97,4.95,1.0,1.7,10.0,1,3.82,MEDIUM,0.472,77,2026-07-01T00:00:00
RISK00618,CURR00618,1.23,7.78,6.22,1.0,2.06,10.0,1,4.11,MEDIUM,0.487,99,2026-07-01T00:00:00
RISK00619,CURR00619,6.24,3.57,6.49,1.25,3.88,10.0,1,4.76,MEDIUM,0.728,185,2026-07-01T00:00:00
RISK00620,CURR00620,1.0,5.81,1.63,1.0,1.97,10.0,1,2.84,LOW,0.376,84,2026-07-01T00:00:00
RISK00621,CURR00621,6.52,4.35,4.73,1.0,1.13,10.0,1,4.27,MEDIUM,0.55,185,2026-07-01T00:00:00
RISK00622,CURR00622,2.05,3.31,1.0,1.25,1.02,10.0,1,2.5,LOW,0.421,104,2026-07-01T00:00:00
RISK00623,CURR00623,5.89,6.3,5.97,1.0,1.32,10.0,1,4.7,MEDIUM,0.665,158,2026-07-01T00:00:00
RISK00624,CURR00624,6.9,1.05,3.89,1.0,3.59,10.0,1,3.92,MEDIUM,0.589,60,2026-07-01T00:00:00
RISK00625,CURR00625,4.66,2.72,2.29,1.0,3.36,10.0,1,3.38,MEDIUM,0.438,71,2026-07-01T00:00:00
RISK00626,CURR00626,6.87,3.06,6.5,1.0,3.57,9.62,1,4.7,MEDIUM,0.666,161,2026-07-01T00:00:00
RISK00627,CURR00627,5.07,5.92,4.79,1.0,1.0,10.0,1,4.21,MEDIUM,0.591,124,2026-07-01T00:00:00
RISK00628,CURR00628,6.3,1.81,3.55,1.0,1.96,10.0,1,3.69,MEDIUM,0.547,111,2026-07-01T00:00:00
RISK00629,CURR00629,5.07,1.0,2.18,1.0,1.0,10.0,1,2.95,LOW,0.369,103,2026-07-01T00:00:00
RISK00630,CURR00630,1.0,1.0,4.66,1.0,1.0,10.0,1,2.63,LOW,0.265,57,2026-07-01T00:00:00
RISK00631,CURR00631,1.0,7.26,1.0,1.0,1.0,10.0,1,2.84,LOW,0.292,65,2026-07-01T00:00:00
RISK00632,CURR00632,1.52,1.0,1.95,1.0,2.98,10.0,1,2.39,LOW,0.263,43,2026-07-01T00:00:00
RISK00633,CURR00633,3.21,7.57,5.94,1.0,2.9,10.0,1,4.51,MEDIUM,0.563,64,2026-07-01T00:00:00
RISK00634,CURR00634,3.83,3.18,6.0,1.0,2.48,9.03,1,3.84,MEDIUM,0.471,113,2026-07-01T00:00:00
RISK00635,CURR00635,8.9,2.0,6.94,1.0,1.0,10.0,1,4.82,MEDIUM,0.63,185,2026-07-01T00:00:00
RISK00636,CURR00636,1.26,5.1,3.5,2.5,1.0,10.0,1,3.29,MEDIUM,0.599,156,2026-07-01T00:00:00
RISK00637,CURR00637,2.46,2.75,2.06,1.0,2.23,10.0,1,2.79,LOW,0.403,68,2026-07-01T00:00:00
RISK00638,CURR00638,2.99,4.67,1.0,1.0,3.68,10.0,1,3.12,MEDIUM,0.39,57,2026-07-01T00:00:00
RISK00639,CURR00639,3.44,3.11,1.57,1.0,3.22,10.0,1,3.04,MEDIUM,0.387,61,2026-07-01T00:00:00
RISK00640,CURR00640,8.14,4.82,5.85,1.0,3.44,10.0,1,5.11,HIGH,0.674,197,2026-07-01T00:00:00
RISK00641,CURR00641,7.41,4.7,1.95,1.0,1.0,10.0,3,4.13,MEDIUM,0.525,70,2026-07-01T00:00:00
RISK00642,CURR00642,3.44,1.66,5.85,1.0,3.54,10.0,1,3.71,MEDIUM,0.456,129,2026-07-01T00:00:00
RISK00643,CURR00643,5.89,3.93,1.97,1.0,1.73,10.0,1,3.58,MEDIUM,0.473,121,2026-07-01T00:00:00
RISK00644,CURR00644,7.84,1.0,3.12,1.0,2.68,10.0,3,4.06,MEDIUM,0.512,125,2026-07-01T00:00:00
RISK00645,CURR00645,7.85,2.18,3.94,1.0,1.0,10.0,1,4.04,MEDIUM,0.584,135,2026-07-01T00:00:00
RISK00646,CURR00646,6.02,5.63,1.58,1.0,1.0,10.0,1,3.71,MEDIUM,0.492,63,2026-07-01T00:00:00
RISK00647,CURR00647,3.14,7.63,4.51,1.0,2.53,10.0,1,4.18,MEDIUM,0.525,114,2026-07-01T00:00:00
RISK00648,CURR00648,1.53,1.0,6.45,1.0,2.89,10.0,1,3.29,MEDIUM,0.355,41,2026-07-01T00:00:00
RISK00649,CURR00649,5.16,4.39,3.08,1.0,2.59,10.0,3,4.02,MEDIUM,0.501,64,2026-07-01T00:00:00
RISK00650,CURR00650,2.77,5.35,2.52,1.0,3.94,10.0,1,3.5,MEDIUM,0.435,82,2026-07-01T00:00:00
RISK00651,CURR00651,7.16,7.22,1.0,1.0,2.7,10.0,1,4.23,MEDIUM,0.575,127,2026-07-01T00:00:00
RISK00652,CURR00652,1.0,1.88,1.41,1.0,2.9,8.53,1,2.16,LOW,0.234,7,2026-07-01T00:00:00
RISK00653,CURR00653,2.57,3.31,4.6,1.0,1.49,10.0,1,3.33,MEDIUM,0.459,98,2026-07-01T00:00:00
RISK00654,CURR00654,2.08,2.59,1.75,1.0,2.27,10.0,1,2.63,LOW,0.318,65,2026-07-01T00:00:00
RISK00655,CURR00655,3.91,3.86,6.04,1.0,1.0,10.0,1,3.92,MEDIUM,0.464,65,2026-07-01T00:00:00
RISK00656,CURR00656,3.64,7.09,1.0,1.25,2.25,10.0,1,3.5,MEDIUM,0.562,141,2026-07-01T00:00:00
RISK00657,CURR00657,5.86,3.29,2.81,1.0,1.48,10.0,1,3.63,MEDIUM,0.532,68,2026-07-01T00:00:00
RISK00658,CURR00658,1.0,4.72,6.19,1.0,2.98,9.03,1,3.6,MEDIUM,0.389,44,2026-07-01T00:00:00
RISK00659,CURR00659,5.54,3.93,4.42,2.5,2.98,10.0,1,4.35,MEDIUM,0.776,170,2026-07-01T00:00:00
RISK00660,CURR00660,7.58,1.0,6.57,1.0,2.78,10.0,1,4.51,MEDIUM,0.568,114,2026-07-01T00:00:00
RISK00661,CURR00661,1.0,5.68,1.97,1.25,3.92,10.0,1,3.13,MEDIUM,0.49,109,2026-07-01T00:00:00
RISK00662,CURR00662,7.41,5.71,2.34,1.0,1.16,10.0,1,4.17,MEDIUM,0.569,164,2026-07-01T00:00:00
RISK00663,CURR00663,3.52,6.01,3.33,1.0,2.56,7.98,1,3.58,MEDIUM,0.46,69,2026-07-01T00:00:00
RISK00664,CURR00664,5.28,3.85,4.96,1.0,3.41,10.0,1,4.22,MEDIUM,0.534,89,2026-07-01T00:00:00
RISK00665,CURR00665,5.18,3.05,1.0,1.0,3.44,7.15,1,3.0,LOW,0.41,40,2026-07-01T00:00:00
RISK00666,CURR00666,4.14,2.0,4.36,1.0,1.0,10.0,1,3.35,MEDIUM,0.406,99,2026-07-01T00:00:00
RISK00667,CURR00667,5.84,7.48,4.59,1.0,1.19,10.0,1,4.58,MEDIUM,0.586,73,2026-07-01T00:00:00
RISK00668,CURR00668,2.07,6.73,1.0,1.0,1.36,10.0,3,3.21,MEDIUM,0.374,53,2026-07-01T00:00:00
RISK00669,CURR00669,2.17,1.0,1.0,1.0,1.0,8.75,1,2.01,LOW,0.218,9,2026-07-01T00:00:00
RISK00670,CURR00670,4.03,1.0,1.0,1.0,3.49,10.0,1,2.76,LOW,0.332,67,2026-07-01T00:00:00
RISK00671,CURR00671,7.81,7.71,5.5,1.0,1.0,9.6,3,5.33,HIGH,0.661,163,2026-07-01T00:00:00
RISK00672,CURR00672,5.95,6.9,1.17,1.0,1.96,10.0,1,3.9,MEDIUM,0.525,80,2026-07-01T00:00:00
RISK00673,CURR00673,1.6,1.95,2.83,1.0,3.57,10.0,1,2.79,LOW,0.332,50,2026-07-01T00:00:00
RISK00674,CURR00674,1.0,4.17,5.38,1.0,1.52,10.0,1,3.3,MEDIUM,0.364,12,2026-07-01T00:00:00
RISK00675,CURR00675,1.0,1.19,1.0,1.0,1.54,10.0,1,1.98,LOW,0.227,5,2026-07-01T00:00:00
RISK00676,CURR00676,8.16,2.97,5.81,1.0,2.68,10.0,1,4.76,MEDIUM,0.629,66,2026-07-01T00:00:00
RISK00677,CURR00677,1.14,3.77,4.75,1.0,1.0,10.0,1,3.09,MEDIUM,0.348,67,2026-07-01T00:00:00
RISK00678,CURR00678,2.51,2.09,3.73,1.0,1.0,10.0,3,3.11,MEDIUM,0.333,44,2026-07-01T00:00:00
RISK00679,CURR00679,1.16,3.46,4.41,1.0,3.93,10.0,1,3.28,MEDIUM,0.389,46,2026-07-01T00:00:00
RISK00680,CURR00680,1.0,3.7,3.47,1.0,3.52,10.0,1,3.05,MEDIUM,0.347,30,2026-07-01T00:00:00
RISK00681,CURR00681,4.15,4.12,1.19,2.5,1.22,10.0,1,3.28,MEDIUM,0.647,133,2026-07-01T00:00:00
RISK00682,CURR00682,7.59,1.01,1.0,1.0,1.48,10.0,1,3.27,MEDIUM,0.454,103,2026-07-01T00:00:00
RISK00683,CURR00683,8.88,1.49,3.98,1.0,1.45,10.0,1,4.19,MEDIUM,0.634,153,2026-07-01T00:00:00
RISK00684,CURR00684,8.86,6.74,2.02,1.0,2.29,10.0,1,4.67,MEDIUM,0.641,210,2026-07-01T00:00:00
RISK00685,CURR00685,8.85,2.26,5.91,1.0,1.85,10.0,1,4.73,MEDIUM,0.687,247,2026-07-01T00:00:00
RISK00686,CURR00686,1.0,4.66,2.14,1.0,3.65,10.0,1,2.94,LOW,0.321,32,2026-07-01T00:00:00
RISK00687,CURR00687,8.95,1.0,4.79,1.0,1.0,10.0,1,4.25,MEDIUM,0.628,77,2026-07-01T00:00:00
RISK00688,CURR00688,7.82,7.66,2.65,1.0,2.22,10.0,1,4.71,MEDIUM,0.639,202,2026-07-01T00:00:00
RISK00689,CURR00689,7.76,1.0,5.04,1.0,3.53,4.55,3,3.97,MEDIUM,0.533,55,2026-07-01T00:00:00
RISK00690,CURR00690,6.93,2.27,2.85,1.0,1.0,10.0,1,3.65,MEDIUM,0.488,35,2026-07-01T00:00:00
RISK00691,CURR00691,1.0,2.58,6.04,1.0,1.0,10.0,1,3.15,MEDIUM,0.43,124,2026-07-01T00:00:00
RISK00692,CURR00692,2.65,4.95,5.84,1.0,1.0,8.85,1,3.68,MEDIUM,0.425,93,2026-07-01T00:00:00
RISK00693,CURR00693,8.26,7.87,1.0,1.0,3.8,10.0,1,4.66,MEDIUM,0.643,55,2026-07-01T00:00:00
RISK00694,CURR00694,4.66,5.23,1.0,1.0,2.87,10.0,1,3.45,MEDIUM,0.448,83,2026-07-01T00:00:00
RISK00695,CURR00695,8.85,7.41,1.9,1.0,1.0,7.65,1,4.38,MEDIUM,0.613,111,2026-07-01T00:00:00
RISK00696,CURR00696,7.7,3.28,5.45,1.0,2.19,10.0,1,4.59,MEDIUM,0.607,89,2026-07-01T00:00:00
RISK00697,CURR00697,3.29,2.7,4.07,1.0,3.61,10.0,1,3.49,MEDIUM,0.43,84,2026-07-01T00:00:00
RISK00698,CURR00698,6.64,7.94,1.0,1.0,2.37,10.0,1,4.21,MEDIUM,0.56,61,2026-07-01T00:00:00
RISK00699,CURR00699,3.33,5.92,2.2,1.25,1.5,10.0,1,3.43,MEDIUM,0.549,104,2026-07-01T00:00:00
RISK00700,CURR00700,1.0,5.92,4.37,2.5,3.99,10.0,1,3.84,MEDIUM,0.656,168,2026-07-01T00:00:00
RISK00701,CURR00701,7.34,1.0,4.57,1.0,1.26,10.0,1,3.91,MEDIUM,0.503,140,2026-07-01T00:00:00
RISK00702,CURR00702,7.65,7.33,1.0,1.0,1.0,9.57,1,4.14,MEDIUM,0.562,149,2026-07-01T00:00:00
RISK00703,CURR00703,4.38,7.51,5.84,1.0,1.0,10.0,1,4.52,MEDIUM,0.619,140,2026-07-01T00:00:00
RISK00704,CURR00704,8.19,6.93,3.72,1.0,3.23,10.0,1,4.99,MEDIUM,0.68,146,2026-07-01T00:00:00
RISK00705,CURR00705,3.27,1.0,6.31,1.0,1.0,8.85,1,3.3,MEDIUM,0.362,91,2026-07-01T00:00:00
